OBJ,sigma_0.5Re,sigma_Re,rms
83,109.1,102.8,10.34
90,30.94,33.38,2.679
119,17.43,17.55,0.5832
143,67.14,62.31,5.704
147,151.8,131.1,23.53
148,48.05,43.16,6.433
153,48.52,55.19,5.354
161,101.1,95.78,9.035
167,182.4,143.4,43.46
170,131.9,113.1,20.33
177,42.04,41.66,1.166
182,38.67,39.2,0.9125
184,182.1,143.4,45.18
190,75.56,74.62,6.775
193,110.9,95.3,16.68
219,236.2,154.3,59.24
249,107,103.8,4.579
255,37.34,38.47,1.705
276,163.1,123.3,35.45
277,79.56,80.17,13.22
301,42.27,48.74,5.971
310,56.29,48.04,10.11
179,,70,
263,,28,
