Galaxy,SR/FR,Kinem.,\sigma_e(km/s),H_beta(\AA),H_betao(\AA),Fe5015(\AA),Mgb(\AA),M\L_V(M/Lsun),M\L_V+ERR,M\L_V-ERR,M/L_3.6(M/Lsun),M/L_3.6+ERR,M/L_3.6-ERR
474,FR, MC,142,1.85,2.93,3.84,2.96,3.52,-0.59,0.67,0.78,-0.13,0.14
524,FR, SC,225,1.52,2.58,4.26,3.63,5.36,-0.6,0.58,1.05,-0.1,0.1
821,FR, SC,182,1.65,2.65,3.69,3.22,4.54,-0.6,0.63,1.02,-0.12,0.12
1023,FR, SC,165,1.57,2.55,3.85,3.55,5.17,-0.57,0.56,1.09,-0.11,0.11
2549,FR, MC,140,2.01,3.26,4.14,3.1,2.68,-0.65,0.9,0.53,-0.13,0.17
2685,FR, SC,100,2.05,3.09,3.33,2.59,2.88,-0.69,0.74,0.72,-0.18,0.18
2695,FR, MC,184,1.36,2.19,3.39,3.44,5.01,-0.28,0.28,1.21,-0.05,0.03
2699,FR, MC,123,1.78,2.83,3.81,3.11,3.91,-0.57,0.65,0.87,-0.13,0.13
2768,FR, SC,200,1.67,2.67,3.47,3.12,4.28,-0.62,0.65,1.02,-0.13,0.12
2974,FR, SC,227,1.73,2.77,4.01,3.5,4.33,-0.56,0.6,0.89,-0.12,0.11
3032,FR,CLV,90,3.85,5.3,3.19,1.74,1.31,-0.58,0.85,0.3,-0.14,0.2
3156,FR, SC,66,2.93,4.16,2.9,1.55,1.45,-0.47,0.7,0.41,-0.14,0.22
3377,FR, SC,126,1.95,3.1,3.48,2.74,2.88,-0.68,0.72,0.69,-0.17,0.17
3379,FR, SC,190,1.54,2.6,3.74,3.53,4.9,-0.59,0.58,1.06,-0.11,0.11
3384,FR, MC,141,1.87,2.98,4.05,3.17,3.4,-0.64,0.66,0.71,-0.14,0.13
3414,SR,KDC,191,1.58,2.47,3.49,3.17,4.74,-0.43,0.45,1.14,-0.09,0.08
3489,FR, MC,99,2.53,3.65,3.47,2.21,1.94,-0.54,0.78,0.46,-0.15,0.2
3608,SR,KDC,167,1.71,2.78,3.73,3.24,4.1,-0.59,0.64,0.91,-0.13,0.12
4150,FR,CLV,77,2.69,3.57,3.27,2,2.02,-0.6,0.79,0.52,-0.17,0.22
4262,FR, MC,164,1.52,2.45,3.45,3.33,4.84,-0.43,0.42,1.15,-0.09,0.07
4270,FR, MC,125,1.77,2.72,3.64,2.77,4.1,-0.63,0.68,0.98,-0.13,0.13
4278,FR, MC,217,1.65,2.73,3.62,3.63,4.37,-0.57,0.63,0.95,-0.12,0.12
4374,SR, SC,261,1.49,2.48,3.61,3.47,5.06,-0.48,0.48,1.14,-0.1,0.08
4382,FR,CLV,178,1.99,3.09,3.63,2.8,2.93,-0.66,0.71,0.67,-0.16,0.16
4387,FR, MC,98,1.6,2.51,3.58,3.18,4.78,-0.49,0.49,1.12,-0.11,0.09
4458,SR,KDC,83,1.64,2.46,3.17,2.88,4.18,-0.37,0.36,1.15,-0.1,0.08
4459,FR, MC,155,1.92,3.07,3.62,2.91,2.99,-0.68,0.7,0.68,-0.16,0.16
4473,FR, MC,186,1.56,2.54,3.82,3.45,5.11,-0.57,0.54,1.1,-0.11,0.1
4477,FR, SC,147,1.6,2.61,3.7,3.29,4.71,-0.59,0.59,1.05,-0.12,0.12
4486,SR, SC,268,1.25,2.21,3.52,3.87,5.56,-0.3,0.3,1.21,-0.05,0.03
4526,FR, MC,214,1.68,2.7,3.89,3.58,4.61,-0.56,0.61,0.96,-0.11,0.11
4546,FR, MC,189,1.6,2.49,3.64,3.39,5.02,-0.49,0.48,1.13,-0.1,0.09
4550,SR, SC,103,2.01,3.06,3.46,2.55,2.97,-0.69,0.73,0.73,-0.17,0.17
4552,SR,KDC,233,1.55,2.64,4.06,3.79,5.03,-0.58,0.6,1,-0.1,0.1
4564,FR, SC,150,1.62,2.65,3.84,3.47,4.75,-0.59,0.62,1.01,-0.11,0.11
4570,FR, MC,167,1.51,2.45,3.75,3.43,5.24,-0.47,0.45,1.15,-0.09,0.08
4621,FR,KDC,200,1.5,2.41,3.7,3.56,5.34,-0.44,0.41,1.17,-0.09,0.06
4660,FR, MC,181,1.55,2.59,3.72,3.48,4.89,-0.57,0.59,1.07,-0.11,0.11
5198,SR,KDC,173,1.6,2.59,3.75,3.43,4.89,-0.57,0.58,1.07,-0.11,0.11
5308,FR, MC,201,1.52,2.49,3.83,3.6,5.36,-0.53,0.5,1.13,-0.1,0.09
5813,SR,KDC,210,1.54,2.61,3.75,3.47,4.84,-0.59,0.59,1.05,-0.11,0.12
5831,SR,KDC,148,1.87,2.96,3.86,2.87,3.4,-0.62,0.68,0.76,-0.14,0.15
5838,FR, MC,232,1.66,2.67,3.94,3.58,4.76,-0.57,0.62,0.99,-0.11,0.11
5845,FR, MC,237,1.57,2.65,4.19,3.76,5.03,-0.57,0.61,0.99,-0.1,0.1
5846,SR, SC,213,1.35,2.36,3.74,3.6,5.48,-0.42,0.37,1.18,-0.09,0.05
5982,SR,KDC,223,1.63,2.66,4.05,3.38,4.79,-0.57,0.62,1,-0.11,0.11
7332,FR,KDC,125,2.1,3.27,3.87,2.75,2.53,-0.61,0.76,0.55,-0.14,0.17
7457,FR,CLV,75,2.26,3.4,3.6,2.4,2.27,-0.59,0.75,0.53,-0.15,0.19
1056,FR,SC,83,2.85,3.94,1.76,1.24,1.47,-0.41,0.46,0.6,-0.14,0.18
2273,FR,MC,124,2.72,3.98,3.13,2.27,1.63,-0.5,0.75,0.4,-0.14,0.2
2844,FR,SC,93,2.45,3.49,2.56,1.7,1.96,-0.61,0.75,0.64,-0.21,0.23
3623,FR,MC,141,1.69,2.7,3.7,3.27,4.39,-0.59,0.65,0.98,-0.12,0.12
4220,FR,SC,92,2.61,3.68,3.89,2.4,2.04,-0.59,0.83,0.43,-0.13,0.17
4235,FR,MC,165,1.84,2.69,3.67,2.97,4.29,-0.61,0.66,1,-0.13,0.13
4245,FR,MC,97,1.94,2.95,3.43,2.76,3.31,-0.63,0.73,0.81,-0.14,0.16
4274,FR,MC,153,1.88,2.89,3.51,2.85,3.53,-0.62,0.71,0.85,-0.14,0.15
4293,FR,SC,107,2.44,3.53,3.71,2.3,2.12,-0.56,0.79,0.48,-0.14,0.2
4314,FR,SC,118,2.13,3.13,3.37,2.6,2.79,-0.7,0.74,0.69,-0.18,0.18
4369,FR,SC,59,3.39,4.72,1.99,1.3,1.07,-0.41,0.6,0.36,-0.15,0.21
4383,FR,SC,51,3.05,4.05,0.4,0.89,1.15,-0.25,0.4,0.63,-0.1,0.25
4405,FR,SC,54,3.13,4.36,2.34,1.53,1.21,-0.37,0.64,0.37,-0.12,0.24
4425,FR,CLV,78,1.89,2.9,3.62,2.78,3.52,-0.62,0.7,0.83,-0.14,0.15
4596,FR,MC,156,1.66,2.62,3.51,3.21,4.49,-0.58,0.61,1.05,-0.12,0.12
4698,FR,KDC,141,1.67,2.59,3.3,2.9,4.2,-0.55,0.53,1.08,-0.13,0.11
4772,FR,SC,131,1.54,2.5,3.07,3.19,4.27,-0.43,0.42,1.13,-0.11,0.09
5448,FR,MC,128,2.19,3.27,3.23,2.65,2.5,-0.68,0.79,0.62,-0.18,0.2
5475,FR,SC,101,2.17,3.35,4.07,2.85,2.49,-0.62,0.88,0.51,-0.13,0.17
5636,FR,CLV,40,2.49,3.64,2.53,1.75,1.81,-0.59,0.73,0.58,-0.2,0.24
5689,FR,MC,166,1.98,3.12,4.02,2.93,2.91,-0.64,0.74,0.61,-0.14,0.15
5953,FR,KDC,100,2.86,3.97,1.69,1.29,1.44,-0.39,0.46,0.6,-0.14,0.18
6501,FR,SC,190,1.65,2.65,4.06,3.58,4.91,-0.57,0.61,1,-0.11,0.11
7742,FR,KDC,71,2.81,4.07,2.87,2.04,1.53,-0.49,0.72,0.4,-0.14,0.21
