Galaxy,RA(J2000)[hh:mm:ss],Dec(J2000)[dd:mm:ss],m_u[mag],m_g[mag],m_r[mag],m_i[mag],m_z[mag],M_V[mag],M_r[mag],R_e-r[arcsec],M_H[mag],R_e-H[arcsec],mag_SDSS
VCC0009,09:22.3,+13:59:32.74,15.16,13.71,13.15,12.77,12.63,NaN,-18.2,37.2,-19.1,33.9,0
VCC0021,10:23.1,+10:11:19.04,16.07,14.68,14.18,13.91,13.8,-16.75,-17.1,15.2,-17.6,14.2,0
VCC0033,11:07.8,+14:16:29.19,16.47,15.01,14.42,14.06,13.97,NaN,-16.9,9.8,-17.6,9.7,0
VCC0170,15:56.3,+14:26:00.33,15.67,14.32,13.72,13.33,13.21,NaN,-17.6,31.3,-18.3,27.3,0
VCC0308,18:50.9,+07:51:43.38,NaN,NaN,NaN,NaN,NaN,-17.65,-18,18.6,-18.7,17.5,0
VCC0389,20:03.3,+14:57:41.70,15.27,13.9,13.24,12.87,12.73,NaN,-18.1,18,-18.9,16.3,0
VCC0397,20:12.2,+06:37:23.51,16.43,15.03,14.39,14.11,14.01,-16.44,-16.8,13.6,-17.8,13.1,0
VCC0437,20:48.1,+17:29:16.00,15.12,13.8,13.13,12.81,12.84,NaN,-18,29.5,-18.8,26.7,0
VCC0523,22:04.1,+12:47:14.60,14.73,13.31,12.7,12.35,12.23,-18.23,-18.7,26.1,-19.2,18.9,0
VCC0543,22:19.5,+14:45:38.59,15.81,14.24,13.53,13.23,12.85,NaN,-17.8,23.6,-18.5,20.9,0
VCC0634,23:20.0,+15:49:13.25,15.35,13.93,13.3,12.89,12.69,NaN,-18.5,37.2,-18.8,20.5,0
VCC0750,24:49.6,+06:45:34.49,16.23,14.91,14.24,13.86,13.54,NaN,-17,19.5,-17.6,15,0
VCC0751,24:48.3,+18:11:47.00,16.22,14.76,14.07,13.64,13.53,NaN,-17.5,12.3,-18.3,11,0
VCC0781,25:15.2,+12:42:52.59,16.11,14.78,14.22,13.87,13.79,NaN,-17.2,13.4,-18,13.8,0
VCC0794,25:22.1,+16:25:47.00,15.56,14.86,14.19,13.8,13.52,NaN,-17.3,37,-17.6,28.1,0
VCC0856,25:57.9,+10:03:13.54,15.57,14.12,13.48,13.12,12.99,-17.45,-17.8,16.5,-18.5,14,0
VCC0917,26:32.4,+13:34:43.54,16.5,15.27,14.66,14.34,14.12,-16.26,-16.6,9.9,-17.3,10.2,0
VCC0940,26:47.1,+12:27:14.17,15.72,14.57,13.84,13.47,13.33,NaN,-17.4,19.8,-18.2,18.1,0
VCC0990,27:16.9,+16:01:27.92,15.85,14.47,13.83,13.45,13.36,-17.13,-17.5,10.2,-18.2,10.3,0
VCC1010,27:27.4,+12:17:25.09,15.58,13.86,13.12,12.75,12.54,NaN,-18.4,22.2,-19.3,20.4,1
VCC1087,28:14.9,+11:47:23.58,15.48,13.66,12.89,12.39,12.4,-17.97,-18.6,35.4,-18.9,18.6,0
VCC1122,28:41.7,+12:54:57.08,15.95,14.69,14.09,13.75,13.56,-16.86,-17.2,17.3,-17.9,16.9,0
VCC1183,29:22.5,+11:26:01.73,NaN,NaN,NaN,NaN,NaN,-17.55,-17.9,21.1,-18.6,17,0
VCC1261,30:10.3,+10:46:46.51,14.86,13.43,12.77,12.4,12.31,-18.38,-18.5,23.8,-19.3,21.7,0
VCC1304,30:39.9,+15:07:46.68,16.48,14.93,14.31,13.99,13.91,NaN,-16.9,16.5,-17.7,16.4,0
VCC1355,31:20.2,+14:06:54.93,16.03,14.22,13.69,13.29,13.03,NaN,-17.6,30.3,-18.2,22.3,0
VCC1407,32:02.7,+11:53:24.46,16.23,14.93,14.31,13.89,13.73,NaN,-17,12.1,-17.9,11.9,0
VCC1431,32:23.4,+11:15:46.94,15.89,14.33,13.55,13.15,12.91,-17.28,-17.8,9.8,-18.7,9.1,0
VCC1453,32:44.2,+14:11:46.17,15.56,14.11,13.41,13,12.81,NaN,-17.9,18.9,-18.7,16.9,0
VCC1528,33:51.6,+13:19:21.03,16.01,14.43,13.76,13.41,13.22,NaN,-17.5,9.6,-18.3,8.4,0
VCC1549,34:14.8,+11:04:17.51,NaN,NaN,NaN,NaN,NaN,-16.96,-17.3,12.1,-18.3,11.4,0
VCC1684,36:39.4,+11:06:06.97,16.27,14.99,14.56,14.27,14.08,NaN,-16.7,18.3,-17.2,18.5,0
VCC1695,36:54.8,+12:31:11.93,15.91,14.25,13.63,13.33,13.05,-17.33,-17.7,24,-18.2,16.2,0
VCC1861,40:58.6,+11:11:04.34,NaN,NaN,NaN,NaN,NaN,-17.55,-17.9,19,-18.6,15.3,0
VCC1895,41:52.0,+09:24:10.28,16.52,15.04,14.4,14.09,13.94,NaN,-17,16.3,-17.7,15,1
VCC1910,42:08.7,+11:45:15.19,NaN,NaN,NaN,NaN,NaN,-17.43,-17.9,13.4,-18.9,11.6,0
VCC1912,42:09.1,+12:35:47.93,NaN,NaN,NaN,NaN,NaN,-17.58,-17.9,22.5,-18.7,22.2,0
VCC1947,42:56.3,+03:40:35.78,NaN,NaN,NaN,NaN,NaN,-17.33,-17.6,9.3,-18.7,9.1,0
VCC2083,50:14.5,+10:32:24.07,17.17,15.82,15.21,14.91,14.79,NaN,-16.4,17.1,-17.1,14.1,1
