Galaxy,RA[hh:mm:ss],Dec[dd:mm:ss],D[deg],R_max/Reff,V_rot/sigma_e,V/S_ERR,lambda_Re/2(1D),lambda_Re/2_ERR,lambda_Re(1d),lambda_Re_ERR,epsilon_e/2,epsilon_e/2_ERR,epsilon_e,epsilon_e_ERR,FR/SR(Reff/2),FR/SR(Reff)
VCC0009,12:09:22.25,+13:59:32.74,5.56,1.0,0.74,0.15,0.32,0.06,0.54,0.075,0.212,0.003,0.189,0.002,FR,FR
VCC0021,12:10:23.15,+10:11:19.04,5.53,0.4,0.37,0.20,0.36,0.065,0.46,0.11,0.360,0.006,0.357,0.005,FR,FR
VCC0033,12:11:07.79,+14:16:29.19,5.24,1.0,0.01,0.145,0.09,0.075,0.11,0.09,0.211,0.006,0.168,0.004,SR,SR 
VCC0170,12:15:56.34,+14:26:00.33,4.17,0.7,0.39,0.20,0.30,0.095,0.39,0.12,0.392,0.003,0.368,0.002,FR,FR 
VCC0308,12:18:50.90,+07:51:43.38,5.42,1.3,0.46,0.105,0.17,0.04,0.31,0.055,0.102,0.003,0.097,0.003,FR,FR
VCC0389,12:20:03.29,+14:57:41.70,3.71,1.0,0.41,0.05,0.19,0.04,0.25,0.05,0.182,0.002,0.198,0.001,FR,FR
VCC0397,12:20:12.18,+06:37:23.51,6.34,1.2,1.18,0.075,0.41,0.035,0.62,0.02,0.234,0.002,0.277,0.002,FR,FR
VCC0437,12:20:48.10,+17:29:16.00,5.67,0.8,1.23,0.125,0.49,0.055,0.60,0.12,0.314,0.002,0.324,0.002,FR,FR
VCC0523,12:22:04.14,+12:47:14.60,2.21,2.0,0.65,0.02,0.35,0.03,0.54,0.03,0.252,0.002,0.256,0.002,FR,FR
VCC0543,12:22:19.54,+14:45:38.59,3.17,1.5,0.58,0.03,0.27,0.03,0.31,0.04,0.428,0.001,0.436,0.001,SR,SR
VCC0634,12:23:20.01,+15:49:13.25,3.90,1.6,1.39,0.07,0.51,0.02,0.52,0.045,0.151,0.002,0.164,0.002,FR,FR
VCC0750,12:24:49.58,+06:45:34.49,5.82,1.5,0.38,0.055,0.13,0.065,0.28,0.05,0.108,0.003,0.125,0.003,SR,FR
VCC0751,12:24:48.30,+18:11:47.00,5.99,0.4,0.39,0.08,0.32,0.05,0.41,0.085,0.388,0.001,0.394,0.001,FR,FR
VCC0781,12:25:15.17,+12:42:52.59,1.42,0.7,0.01,0.10,0.07,0.045,0.14,0.055,0.238,0.004,0.282,0.003,SR,FR
VCC0794,12:25:22.10,+16:25:47.00,4.26,1.0,0.51,0.16,0.28,0.075,0.34,0.07,0.359,0.002,0.446,0.001,FR,FR
