Galaxy,RA(J2000)[hh:mm:ss],Dec(J2000)[dd:mm:ss],M_r[mag],R_e-r[arcsec],M_H[mag],R_e-H[arcsec],R_s-H[arcsec],R_s-H_ERR,Class,Comp.,n,V_0[km/s],V_0_ERR,V_sys[km/s],V_sys_ERR,V_rot[km/s],V_rot_ERR,sigma_e[km/s],sigma_e_ERR,sigma_mean[km/s],sigma_mean_ERR
VCC0009,12:09:22.25,+13:59:32.74,-18.2,37.2,-19.1,33.9,18.2,0.2,dE(N),multi,---,23.4,5,1674,0.8,20.2,5,26,3.9,26,4.6
VCC0021,12:10:23.15,+10:11:19.04,-17.1,15.2,-17.6,14.2,6.6,0.1,dE(bc;N),single,1.2,11.8,6.6,483,0.7,10.7,8.3,28.9,2.9,27.7,3
VCC0033,12:11:07.79,+14:16:29.19,-16.9,9.8,-17.6,9.7,5.3,0,dE(N),single,1,1,3.2,1179.3,0.8,0.9,3.95,20.8,4.9,21.8,4.6
VCC0170,12:15:56.34,+14:26:00.33,-17.6,31.3,-18.3,27.3,11.2,0.5,dE(bc;nN),multi,---,16.2,7,1398.3,0.7,15.7,6.65,26.6,4.6,25,4.4
VCC0308,12:18:50.90,+07:51:43.38,-18,18.6,-18.7,17.5,11.2,0.1,dE(di;bc;,multi,1.9,14,2.4,1530.2,0.7,11.7,4.35,24.1,2.4,24.8,1.9
VCC0389,12:20:03.29,+14:57:41.70,-18.1,18,-18.9,16.3,6.1,0.2,dE(di;N),multi,1.9,12.2,2.6,1354.3,0.7,12.1,2.7,30.9,1.2,30.5,1.3
VCC0397,12:20:12.18,+06:37:23.51,-16.8,13.6,-17.8,13.1,6.2,0.1,dE(di;N),---,---,47,4.4,2441.5,0.7,41.9,2.9,35.7,1.9,38.1,1.4
VCC0437,12:20:48.10,+17:29:16.00,-18,29.5,-18.8,26.7,18.4,1.1,dE(N),multi,1.7,61.8,5.2,1412.3,0.7,50.1,5.6,40.9,4,36,4.1
VCC0523,12:22:04.14,+12:47:14.60,-18.7,26.1,-19.2,18.9,8.2,0.3,dE(di;N),multi,1.5,29.6,1.2,1523.5,0.7,27.5,2.75,42.2,1,36.2,0.9
VCC0543,12:22:19.54,+14:45:38.59,-17.8,23.6,-18.5,20.9,7.9,0.2,dE(nN),multi,1.7,20.4,1.4,977.1,0.7,20.2,2.1,35.1,1.4,34.3,1.6
VCC0634,12:23:20.01,+15:49:13.25,-18.5,37.2,-18.8,20.5,13.9,0.3,dE(N),multi,1.5,46.2,4.2,484.5,0.7,37.5,2.85,31.3,1.6,29.2,1.7
VCC0750,12:24:49.58,+06:45:34.49,-17,19.5,-17.6,15,9.2,0.2,dE(N),multi,1.5,20.6,3.6,1058.8,0.8,16.7,2.9,43.5,2.9,41.4,2.1
VCC0751,12:24:48.30,+18:11:47.00,-17.5,12.3,-18.3,11,3.7,0,dE(di;N),multi,2,13.8,2.6,691.8,0.8,13.7,4.35,32.1,2.4,32.6,2.4
VCC0781,12:25:15.17,+12:42:52.59,-17.2,13.4,-18,13.8,5.4,0.1,dE(bc;N),multi,1.5,0,4,-342.1,0.7,0,4.55,38,2.8,36.4,2.6
VCC0794,12:25:22.10,+16:25:47.00,-17.3,37,-17.6,28.1,9.2,0.9,dE(nN),---,---,16.2,4,1672.1,0.8,16.1,5.5,29,3.9,26.8,4.1
VCC0856,12:25:57.93,+10:03:13.54,-17.8,16.5,-18.5,14,8.4,0,dE(di;N),single,1,31.4,9.4,1000.6,0.8,25.8,7.35,31.3,4.1,31.4,3.4
VCC0917,12:26:32.39,+13:34:43.54,-16.6,9.9,-17.3,10.2,3.4,0.1,dE(nN),multi,1.8,-0.6,1.4,1244.8,0.7,0.6,2.45,28.4,1.4,27.4,1.3
VCC0940,12:26:47.07,+12:27:14.17,-17.4,19.8,-18.2,18.1,10.6,0.1,dE(di;N),multi,1.1,13.4,2,1391.9,0.8,11.6,1.95,40.4,1.3,36.5,1.4
VCC0990,12:27:16.94,+16:01:27.92,-17.5,10.2,-18.2,10.3,4.4,0.1,dE(di;N),multi,1.7,29,4,1704.1,0.7,27.1,5.2,38.7,1.3,37.6,1.2
VCC1010,12:27:27.39,+12:17:25.09,-18.4,22.2,-19.3,20.4,8.8,0.4,dE(di;N),multi,1.7,55.6,0.8,930,0.7,51.7,1.95,44.6,0.9,42.7,0.8
VCC1087,12:28:14.90,+11:47:23.58,-18.6,35.4,-18.9,18.6,12.3,0.1,dE(N),multi,1.5,5.6,2,658.6,0.7,4.6,2.65,42,1.5,38.6,1.2
VCC1122,12:28:41.71,+12:54:57.08,-17.2,17.3,-17.9,16.9,7.8,0.2,dE(N),---,---,16.4,2,465.1,0.7,14.9,2.8,32.1,1.7,28.3,1.4
VCC1183,12:29:22.51,+11:26:01.73,-17.9,21.1,-18.6,17,13.7,0.1,dE(di;N),multi,1.7,25.2,9,1326.6,0.8,18.9,6.75,44.3,2.4,40.4,1.4
VCC1261,12:30:10.32,+10:46:46.51,-18.5,23.8,-19.3,21.7,14,0.2,dE(N),multi,1.9,-2.2,3.6,1825.3,0.7,1.8,3.75,44.8,1.4,44.6,0.9
VCC1304,12:30:39.90,+15:07:46.68,-16.9,16.5,-17.7,16.4,10,0.2,dE(di;N),---,---,47.8,1.4,-37,0.7,39,3.6,25.9,2.7,23.8,2.1
VCC1355,12:31:20.21,+14:06:54.93,-17.6,30.3,-18.2,22.3,11.6,0.2,dE(N),multi,1.5,5.8,3.8,1245,0.8,5.2,4.9,20.3,4.7,20.4,4.6
VCC1407,12:32:02.73,+11:53:24.46,-17,12.1,-17.9,11.9,5.1,0.1,dE(N),single,1.4,6.2,2.2,1007.2,0.7,5.9,2.45,31.9,2.1,31,2.6
VCC1431,12:32:23.41,+11:15:46.94,-17.8,9.8,-18.7,9.1,4.1,0.1,dE(N),single,1.5,11.2,3.6,1489.4,0.7,10.6,4.7,52.4,1.6,52.2,1.4
VCC1453,12:32:44.22,+14:11:46.17,-17.9,18.9,-18.7,16.9,10.6,0.2,dE(N),multi,2.2,7,4.6,1880,0.7,5.6,7.75,35.6,1.4,32.9,1.2
VCC1528,12:33:51.61,+13:19:21.03,-17.5,9.6,-18.3,8.4,2.6,0,dE(nN),multi,2.1,0.8,1.2,1615.4,0.7,0.8,1.5,47,1.4,48,1.6
