Galaxy,H_\beta[\AA],H_\beta_ERR,H_\gammaA[\AA],H_\gamma_ERR,Fe4668[\AA],Fe4668_ERR,Mgb[\AA],Mgb_ERR,Age[Gyr],Age_ERR,[M/H][dex],[M/H]_ERR
VCC0009,2.59,0.08,-1.15,0.15,2.91,0.2,-,-,3.4,0.5,-0.5,0.1
VCC0021,2.92,0.2,-,-,1.67,0.5,1.24,0.21,5.8,1.9,-1.2,0.4
VCC0033,2.5,0.12,-0.3,0.19,2.25,0.37,-,-,4.9,2,-0.9,0.2
VCC0170,3.65,0.07,2.1,0.13,1.86,0.21,-,-,2,0.4,-1,0.2
VCC0308,-,-,-1.11,0.16,3.18,0.22,-,-,2.8,0.8,-0.4,0.15
VCC0389,2.66,0.06,-2.98,0.1,3.42,0.16,-,-,3,0.3,-0.4,0.1
VCC0397,-,-,-1.97,0.13,4.21,0.19,-,-,2.6,0.3,-0.1,0.1
VCC0437,2.77,0.17,-1.78,0.19,1.39,0.37,-,-,6.8,3.3,-1.3,0.3
VCC0523,-,-,-2.1,0.12,3.83,0.16,-,-,2.7,0.6,-0.2,0.1
VCC0543,-,-,-2.8,0.1,2.9,0.16,-,-,8.4,2.85,-0.7,0.1
VCC0634,2.4,0.04,-2.38,0.07,3.48,0.1,-,-,4,0.4,-0.4,0
VCC0750,2.35,0.06,-2.3,0.11,3.66,0.17,-,-,3.7,0.6,-0.3,0.1
VCC0751,2.25,0.11,-3.87,0.21,3.89,0.28,-,-,5.2,1.7,-0.3,0.1
VCC0781,3.32,0.12,1.95,0.17,1.37,0.32,-,-,3.9,0.8,-1.3,0.2
VCC0794,2.16,0.08,-1.93,0.12,2.58,0.18,-,-,7.8,1.8,-0.8,0.1
VCC0856,1.61,0.24,-,-,1.24,0.77,2.71,0.32,14.1,0,-0.9,0.5
VCC0917,-,-,-2.07,0.1,2.87,0.19,-,-,5.6,2.05,-0.6,0.1
VCC0940,2.24,0.13,-,-,2.61,0.35,2.71,0.14,5.8,2.2,-0.6,0.2
VCC0990,2.42,0.12,-,-,3.52,0.31,2.3,0.14,4,1.2,-0.4,0.2
VCC1010,-,-,-4.38,0.07,3.98,0.12,-,-,8.3,1.85,-0.4,0.1
VCC1087,-,-,-3.44,0.15,3.8,0.22,-,-,5.6,1.95,-0.4,0.1
VCC1122,-,-,-1.63,0.1,3.33,0.14,-,-,3.1,0.45,-0.4,0.1
VCC1183,2.2,0.25,-,-,3.12,0.57,2.52,0.26,6.2,4.6,-0.6,0.3
VCC1261,2.29,0.14,-,-,3.38,0.33,1.93,0.15,5.5,2.3,-0.6,0.2
VCC1304,-,-,-0.4,0.07,2.13,0.14,-,-,5.2,1.55,-0.9,0.15
VCC1355,2.53,0.09,-1.98,0.17,2.69,0.27,-,-,4.5,1.5,-0.7,0.1
VCC1407,-,-,-3.1,0.08,1.79,0.14,-,-,14.1,0,-1.1,0.1
VCC1431,1.99,0.17,-,-,1.99,0.4,3.13,0.16,7.7,4.55,-0.3,0.3
VCC1453,2.16,0.06,-3.58,0.09,4.43,0.13,-,-,4.5,0.6,-0.2,0
VCC1528,2.28,0.06,-3.92,0.12,4.36,0.14,-,-,4.6,0.8,-0.2,0
VCC1549,1.88,0.22,-,-,3.95,0.73,3.23,0.25,10.4,7.1,-0.4,0.3
VCC1684,3.82,0.05,-,-,1.13,0.13,1.11,0.05,2.2,0.1,-1.2,0.1
VCC1695,-,-,-0.94,0.14,3.01,0.21,-,-,2.9,0.7,-0.5,0.1
VCC1861,-,-,-3.82,0.14,4.04,0.17,-,-,5.9,1.5,-0.3,0.1
VCC1895,-,-,-1.62,0.09,2.19,0.15,-,-,8.9,2.35,-0.9,0.1
VCC1910,1.86,0.22,-,-,5.73,0.53,2.45,0.18,9,5.5,0,0.2
VCC1912,2.8,0.16,-,-,1.6,0.45,0.54,0.19,5.9,3.05,-1.2,0.3
VCC1947,1.73,0.17,-,-,3.51,0.35,3.13,0.19,14.1,0,-0.6,0.2
VCC2083,1.68,0.19,-,-,1.2,0.51,1.17,0.18,14.1,0,-0.7,0.4
