Name,r_e [arcmin],r_e_ERR,m_V,m_V_ERR,sigma_v [km/s],sigma_ERR,D [kpc]
Ursa Minor,14.5,1.1,10.3,0.4,8.8,0.8,66
Draco,8.2,0.7,10.9,0.3,8.5,0.7,76
Sculptor,11.5,1.9,8.5,0.3,8.8,0.6,79
Sextans,28,5.8,10.3,0.3,6.2,0.7,86
Carina,8.2,1.1,10.85,0.25,6.8,1.6,101
Fornax,16.7,1,7.6,0.3,12.4,1.5,138
Leo II,2.6,0.4,12,0.2,6.7,1.1,233
Leo I,3.4,0.4,10.1,0.3,8.8,0.9,254
NGC 185,2.5,0,9.09,0.15,28,8,620
NGC 147,2.13,0,9.35,0.15,23,5,725
M 32,0.53,0,8.1,0.15,60,10,805
NGC 205,2.38,0,8.05,0.15,35,5,815
