FCC,VMIN,VMAX,SMIN,SMAX
219,-60,60,230,275
153,-50,50,30,70
193,-80,80,90,130
167,-45,45,155,220
143,-20,20,50,80
147,-60,60,110,180
177,-25,25,38,48
190,-40,40,60,90
182,-15,15,35,45
213,-25,25,255,380
179,-120,120,55,130
184,-55,68,100,150
211,-11,8,20,35
202,-7,7,25,40
207,-20,25,15,35
135,-10,10,10,35
136,-18,14,28,35
164,-6,6,0,25
203,-30,25,20,40
264,-5,7,0,35
134,-15,15,0,25
222,-6,4,10,35
188,-20,15,5,40
235,-25,25,0,65
181,-15,15,5,25
195,-15,15,25,35
200,-15,15,0,30
274,-28,18,0,60
178,-80,80,0,25
223,-15,15,0,80
