OBJ,F3D_S_0.5Re,F3D_S_Re,rms,"SAMI_S_15""",error
83,109.1,102.8,10.34,131.695,0.5972
90,30.94,33.38,2.679,,
119,17.43,17.55,0.5832,,
143,67.14,62.31,5.704,66.0774,1.0189
147,151.8,131.1,23.53,159.1326,1.4951
148,48.05,43.16,6.433,,
153,48.52,55.19,5.354,58.8867,0.5222
161,101.1,95.78,9.035,,
167,182.4,143.4,43.46,196.4678,1.2184
170,131.9,113.1,20.33,,
177,42.04,41.66,1.166,43.0576,0.6864
179,,70,,116.6892,1.473
182,38.67,39.2,0.9125,38.8543,0.4939
184,182.1,143.4,45.18,160.7276,1.6992
190,75.56,74.62,6.775,79.2564,7.8886
193,110.9,95.3,16.68,122.3899,1.3667
219,236.2,154.3,59.24,225.5176,3.287
249,107,103.8,4.579,104.5814,0.5797
255,37.34,38.47,1.705,,
263,,28,,35.4686,1.3586
276,163.1,123.3,35.45,,
277,79.56,80.17,13.22,,
301,42.27,48.74,5.971,56.779,1.87
310,56.29,48.04,10.11,,
