FCC,FDS,_DWARF,RA(deg),DEC(deg),M_r(mag),ERR_m_r(mag),mu_r(mag/arcsec2),ERR_mu_r(mag/arcsec2),R_e(arcsec),ERR_R_e(arcsec),axis_ratio,Sersic_index,log10(M_*/M_sun),ERR_log10(M_*),u,g,r,i
213,11,3,54.6208992004395,-35.450439453125,-22.51,0.08,20.7,0.23,114.88,8.41,0.92,5.8,11.085,0.002,11.843,10.2104,9.3651,9.0556
167,11,6,54.1150093078613,-34.976016998291,-21.5,0.06,19.18,0.17,44.49,2.49,0.59,2.88,10.6882,0.0019,12.8641,11.0007,10.2651,9.8785
219,11,166,54.7164001464844,-35.5933227539062,-21.49,0.05,18.45,0.13,26.15,1.09,0.87,3.6,10.7593,0.0018,12.8646,11.0842,10.2634,9.8631
184,11,1,54.2376022338867,-35.506591796875,-21.33,0.09,20.91,0.24,73.56,5.68,0.93,7.47,10.6071,0.0022,12.96,11.2908,10.4185,10.1339
29,25,0,50.9848442077637,-36.4644432067871,-21.05,0.07,19.92,0.19,43.82,2.72,0.81,5.43,10.4909,0.002,12.9756,11.4325,10.6703,10.3194
179,12,3,54.1925392150879,-35.999267578125,-20.72,0.1,20.84,0.29,74.62,6.79,0.48,6.86,10.3051,0.0024,13.3607,11.7079,10.9806,10.6553
147,16,1,53.8191108703613,-35.2262573242187,-20.57,0.06,19.75,0.17,29.51,1.67,0.98,5.39,10.2243,0.002,13.8847,12.0092,11.2563,10.9673
83,19,0,52.6456527709961,-34.8539390563965,-20.31,0.1,20.87,0.27,55.35,4.74,0.61,6.81,10.1977,0.0024,13.9239,12.3004,11.5031,11.1703
193,11,0,54.2989006042481,-35.7461051940918,-19.83,0.05,18.67,0.15,15.53,0.74,0.66,3.09,9.9939,0.002,14.3589,12.6868,11.9402,11.5854
153,15,2,53.8794403076172,-34.447021484375,-19.11,0.08,18.63,0.22,23.15,1.66,0.15,1.62,9.7441,0.0023,16.1033,14.458,13.7165,13.324
177,10,0,54.1978378295898,-34.7397346496582,-18.83,0.1,20.01,0.27,28.81,2.51,0.26,1.66,9.5938,0.0025,15.2797,13.6537,12.9592,12.5726
249,13,0,55.1754341125488,-37.5107688903809,-18.7,0.05,18.54,0.12,7.13,0.3,0.98,3.47,9.5971,0.002,15.5602,13.9393,13.1304,12.7643
190,11,5,54.2873191833496,-35.1950531005859,-18.68,0.07,20.28,0.2,16.23,1.07,0.92,1.81,9.4688,0.0023,15.3784,13.9181,13.0657,12.8397
143,16,2,53.7466659545899,-35.1710891723633,-18.15,0.06,19.63,0.17,9.81,0.56,0.85,4.34,9.252,0.0022,16.1789,14.4158,13.6765,13.3811
235,11,519,55.0410690307617,-35.629093170166,-18.06,0.14,22.64,0.42,42.3,5.54,0.68,0.85,8.8346,0.0035,15.1286,14.182,13.8457,13.6407
301,7,0,56.2649002075195,-35.9726676940918,-17.83,0.06,18.89,0.16,7.6,0.41,0.54,2.12,9.1612,0.0022,16.408,14.7723,14.0541,13.7128
263,5,0,55.3855743408203,-34.8887519836426,-17.77,0.09,20.51,0.26,16.47,1.38,0.48,1.37,8.7964,0.0027,15.4731,14.4884,14.01,13.8252
37,25,241,51.2893371582031,-36.3651847839355,-17.66,0.14,22.56,0.41,33.89,4.35,0.68,1.09,8.8152,0.0034,15.6084,14.5902,14.1385,13.8779
33,26,3,51.243236541748,-37.0096130371094,-17.56,0.1,20.5,0.28,16.89,1.51,0.37,1.18,9.0399,0.0027,16.6527,15.2885,14.6322,14.2636
285,7,360,55.7601470947266,-36.2733573913574,-17.46,0.15,22.78,0.42,32.65,4.32,0.74,1.22,8.5794,0.0036,15.5712,14.7021,14.3293,14.161
182,11,279,54.2262954711914,-35.3747138977051,-17.38,0.08,20.5,0.21,9.67,0.66,0.96,2.43,8.9642,0.0025,16.6323,15.2097,14.4018,14.1332
136,16,159,53.6228370666504,-35.546459197998,-17.26,0.11,21.78,0.31,17.5,1.72,0.85,2.14,8.8784,0.0029,16.8376,15.3327,14.5522,14.2993
106,15,417,53.198673248291,-34.2387275695801,-16.91,0.09,20.44,0.26,10.65,0.87,0.49,2.18,8.6925,0.0027,16.8898,15.741,15.0575,14.7861
202,11,235,54.5273246765137,-35.4399108886719,-16.83,0.11,21.21,0.3,13.28,1.25,0.59,1.67,8.7053,0.0029,17.142,15.7815,15.0506,14.7675
113,15,107,53.2794189453125,-34.8055763244629,-16.53,0.14,22.45,0.39,18.92,2.35,0.69,1.19,8.275,0.0036,17.1094,16.254,15.7749,15.6117
222,11,283,54.8055000305176,-35.371410369873,-16.46,0.13,22.44,0.36,16.1,1.86,0.89,1.35,8.5668,0.0033,17.3304,16.0806,15.3868,15.0711
100,16,417,52.9484786987305,-35.0513877868652,-16.45,0.14,22.72,0.41,19.77,2.56,0.76,1.46,8.5465,0.0036,17.3941,16.0852,15.3737,15.0845
