FCC	FDS	_DWARF	RA(deg)	DEC(deg)	M_r(mag)	mu_r(mag/arcsec2)	R_e(arcsec)	axis_ratio	log10(M_*/M_sun)	u	g	r	i
213	11	3	54.6208992	-35.45043945	-22.51	20.7	114.88	0.92	11.085	11.843	10.2104	9.3651	9.0556
167	11	6	54.11500931	-34.976017	-21.5	19.18	44.49	0.59	10.6882	12.8641	11.0007	10.2651	9.8785
219	11	166	54.71640015	-35.59332275	-21.49	18.45	26.15	0.87	10.7593	12.8646	11.0842	10.2634	9.8631
184	11	1	54.23760223	-35.5065918	-21.33	20.91	73.56	0.93	10.6071	12.96	11.2908	10.4185	10.1339
179	12	3	54.19253922	-35.99926758	-20.72	20.84	74.62	0.48	10.3051	13.3607	11.7079	10.9806	10.6553
177	10	0	54.19783783	-34.73973465	-18.83	20.01	28.81	0.26	9.5938	15.2797	13.6537	12.9592	12.5726
147	16	1	53.81911087	-35.22625732	-20.57	19.75	29.51	0.98	10.2243	13.8847	12.0092	11.2563	10.9673
153	15	2	53.87944031	-34.44702148	-19.11	18.63	23.15	0.15	9.7441	16.1033	14.458	13.7165	13.324
193	11	0	54.2989006	-35.74610519	-19.83	18.67	15.53	0.66	9.9939	14.3589	12.6868	11.9402	11.5854
190	11	5	54.28731918	-35.1950531	-18.68	20.28	16.23	0.92	9.4688	15.3784	13.9181	13.0657	12.8397
143	16	2	53.74666595	-35.17108917	-18.15	19.63	9.81	0.85	9.252	16.1789	14.4158	13.6765	13.3811
235	11	519	55.04106903	-35.62909317	-18.06	22.64	42.3	0.68	8.8346	15.1286	14.182	13.8457	13.6407
182	11	279	54.22629547	-35.3747139	-17.38	20.5	9.67	0.96	8.9642	16.6323	15.2097	14.4018	14.1332
136	16	159	53.62283707	-35.5464592	-17.26	21.78	17.5	0.85	8.8784	16.8376	15.3327	14.5522	14.2993
202	11	235	54.52732468	-35.43991089	-16.83	21.21	13.28	0.59	8.7053	17.142	15.7815	15.0506	14.7675
222	11	283	54.80550003	-35.37141037	-16.46	22.44	16.1	0.89	8.5668	17.3304	16.0806	15.3868	15.0711
203	10	189	54.53820038	-34.51876068	-16.39	21.97	16.04	0.55	8.553	17.6344	16.1375	15.4762	15.1274
