"FCC","FDS","_DWARF","RA(deg)","DEC(deg)","M_r(mag)","ERR_m_r(mag)","M_g(mag)","ERR_m_g(mag)","mu_r(mag/arcsec2)","ERR_mu_r(mag/arcsec2)","R_e(arcsec)","ERR_R_e(arcsec)","axis_ratio","Sersic_index","log10(M_*/M_sun)","ERR_log10(M_*)","u","g","r","i","Class"
277,6,2,55.5949249267578,-35.1540985107422,-18.82,0.07,-18.13,0.08,19.39,0.18,11.44,0.68,0.58,1.89,9.469,0.0022,15.4076,13.7725,13.1207,12.817,"e(s)"
143,16,2,53.7466659545899,-35.1710891723633,-18.66,0.06,-17.99,0.08,19.63,0.17,9.81,0.56,0.85,4.34,9.456,0.0022,16.1789,14.4158,13.6765,13.3811,"e(s)"
235,11,519,55.0410690307617,-35.629093170166,-18.57,0.14,-18.19,0.16,22.64,0.42,42.3,5.54,0.68,0.85,9.0386,0.0034,15.1286,14.182,13.8457,13.6407,"l"
301,7,0,56.2649002075195,-35.9726676940918,-18.34,0.06,-17.72,0.07,18.89,0.16,7.6,0.41,0.54,2.12,9.3652,0.0022,16.408,14.7723,14.0541,13.7128,"e(s)"
263,5,0,55.3855743408203,-34.8887519836426,-18.28,0.09,-17.72,0.11,20.51,0.26,16.47,1.38,0.48,1.37,9.0004,0.0027,15.4731,14.4884,14.01,13.8252,"l"
37,25,241,51.2893371582031,-36.3651847839355,-18.17,0.14,-17.79,0.16,22.56,0.41,33.89,4.35,0.68,1.09,9.0192,0.0033,15.6184,14.5902,14.1385,13.8779,"l"
33,26,3,51.243236541748,-37.0096130371094,-18.07,0.1,-17.41,0.12,20.5,0.28,16.89,1.51,0.37,1.18,9.2439,0.0027,16.6655,15.2885,14.6322,14.2636,"l"
285,7,360,55.7601470947266,-36.2733573913574,-17.97,0.15,-17.52,0.16,22.78,0.42,32.65,4.32,0.74,1.22,8.7834,0.0035,15.5712,14.7021,14.3293,14.161,"l"
182,11,279,54.2262954711914,-35.3747138977051,-17.89,0.08,-17.12,0.09,20.5,0.21,9.67,0.66,0.96,2.43,9.1682,0.0024,16.6323,15.2097,14.4018,14.1332,"e(s)*"
136,16,159,53.6228370666504,-35.546459197998,-17.77,0.11,-17,0.13,21.78,0.31,17.5,1.72,0.85,2.14,9.0824,0.0028,16.8376,15.3327,14.5522,14.2993,"e"
106,15,417,53.198673248291,-34.2387275695801,-17.42,0.09,-16.77,0.11,20.44,0.26,10.65,0.87,0.49,2.18,8.8965,0.0027,16.8898,15.741,15.0575,14.7861,"e(s)"
202,11,235,54.5273246765137,-35.4399108886719,-17.34,0.11,-16.6,0.13,21.21,0.3,13.28,1.25,0.59,1.67,8.9093,0.0028,17.142,15.7815,15.0506,14.7675,"e*"
113,15,107,53.2794189453125,-34.8055763244629,-17.04,0.14,-16.52,0.16,22.45,0.39,18.92,2.35,0.69,1.19,8.479,0.0035,17.1094,16.254,15.7749,15.6117,"l"
222,11,283,54.8055000305176,-35.371410369873,-16.97,0.13,-16.27,0.15,22.44,0.36,16.1,1.86,0.89,1.35,8.7708,0.0033,17.3304,16.0806,15.3868,15.0711,"e*"
100,16,417,52.9484786987305,-35.0513877868652,-16.96,0.14,-16.22,0.17,22.72,0.41,19.77,2.56,0.76,1.46,8.7505,0.0035,17.3941,16.0852,15.3737,15.0845,"e*"
203,10,189,54.538200378418,-34.5187606811523,-16.9,0.13,-16.27,0.15,21.97,0.37,16.04,1.88,0.55,1.46,8.757,0.0033,17.6344,16.1375,15.4762,15.1274,"e(s)"
135,15,384,53.6284446716309,-34.2973709106445,-16.82,0.13,-16.2,0.15,21.7,0.36,14.72,1.68,0.47,1.58,8.7083,0.0032,17.3801,16.1867,15.5511,15.2025,"e(s)"
207,11,396,54.5801849365234,-35.1291236877441,-16.59,0.11,-15.97,0.12,21.63,0.3,9.59,0.92,0.83,1.54,8.5125,0.003,17.6497,16.4253,15.7616,15.5219,"e"
245,11,458,55.1409912109375,-35.0228881835937,-16.5,0.14,-15.83,0.16,22.72,0.39,14.52,1.78,0.92,1.51,8.5729,0.0035,17.8998,16.5285,15.9129,15.5551,"e*"
252,11,69,55.2099876403809,-35.7484550476074,-16.41,0.12,-15.73,0.14,22.25,0.34,11.13,1.21,0.94,1.21,8.5849,0.0032,18.0898,16.4905,15.8013,15.449,"e*"
300,7,326,56.2495880126953,-36.319751739502,-16.38,0.17,-15.71,0.2,23.37,0.49,20.82,3.23,0.72,1.14,8.5498,0.0041,17.9238,16.5666,15.8936,15.55,"e*"
266,6,455,55.4221611022949,-35.1702651977539,-16.35,0.09,-15.68,0.11,21.23,0.26,6.91,0.58,0.89,1.17,8.4988,0.0028,18.1597,16.7095,16.0447,15.7328,"e*"
46,22,244,51.6043014526367,-37.1277847290039,-16.31,0.11,-15.78,0.12,21.35,0.3,8.51,0.82,0.64,0.98,8.3101,0.0031,17.7721,16.6818,16.1938,15.9279,"l"
188,11,155,54.2689056396484,-35.5901489257812,-16.26,0.13,-15.57,0.16,22.64,0.38,12.2,1.45,0.96,1,8.4255,0.0035,17.956,16.7113,16.018,15.7577,"e*"
211,11,339,54.5895042419434,-35.2596893310547,-16.11,0.1,-15.47,0.11,21.17,0.27,6.58,0.58,0.75,1.66,8.3387,0.0029,18.0814,16.8617,16.2199,15.9522,"e*"
164,12,367,54.0535888671875,-36.1664505004883,-16,0.13,-15.37,0.15,21.85,0.36,9.95,1.13,0.55,1.47,8.3351,0.0034,18.5234,17.1193,16.4853,16.1737,"e(s)"
306,7,310,56.439094543457,-36.3460998535156,-15.91,0.11,-15.54,0.12,21.33,0.31,7.26,0.71,0.59,0.9,7.9136,0.0033,17.6836,16.9008,16.5846,16.4207,"l*"
253,13,42,55.2303009033203,-37.8376274108887,-15.83,0.14,-15.14,0.16,22.35,0.39,10.92,1.36,0.62,1.13,8.3048,0.0036,18.6277,17.2488,16.5385,16.2412,"e"
274,6,208,55.5719223022461,-35.5407371520996,-15.75,0.15,-15.17,0.17,23.12,0.43,12.05,1.62,0.96,1.26,8.1779,0.0039,18.4847,17.1907,16.6153,16.3189,"e*"
298,6,98,56.1850700378418,-35.6837158203125,-15.62,0.11,-15,0.13,21.73,0.32,6.97,0.71,0.71,1.19,8.1686,0.0033,18.9221,17.4879,16.8662,16.5608,"e*"
264,6,170,55.3823127746582,-35.5895500183105,-15.51,0.14,-14.91,0.17,22.06,0.41,10.27,1.34,0.4,1.05,8.0985,0.0038,18.8268,17.5043,16.9196,16.6138,"e"
195,10,14,54.3471832275391,-34.9001083374023,-15.44,0.16,-14.82,0.19,22.92,0.48,12.78,1.92,0.54,1.06,8.1332,0.0041,18.9488,17.7088,17.0533,16.7358,"e"
250,13,258,55.1849708557129,-37.4082679748535,-15.06,0.15,-14.37,0.18,22.97,0.44,9.22,1.27,0.76,0.84,7.9732,0.004,19.3152,18.0056,17.2906,17.0205,"e"
178,10,302,54.2027282714844,-34.280101776123,-15.02,0.17,-14.46,0.2,23.37,0.5,11.26,1.76,0.71,1.24,7.949,0.0043,19.1844,17.9009,17.3255,16.9721,"e"
134,15,223,53.5903930664063,-34.5925216674805,-14.6,0.14,-14.08,0.16,22.36,0.41,6.52,0.84,0.57,0.81,7.6366,0.004,19.5934,18.4252,17.9429,17.6614,"e"
51,21,129,51.7760429382324,-36.6367874145508,-14.15,0.13,-13.57,0.15,22.21,0.37,4.45,0.52,0.7,0.96,7.5933,0.0037,19.7032,18.7865,18.148,17.8414,"e"
