FCCname,FDSname,Radeg,DECdeg,year
FCC213,FDS11_DWARF003,54.620899,-35.450439,2016
FCC167,FDS11_DWARF006,54.115009,-34.976017,2016
FCC219,FDS11_DWARF166,54.7164,-35.593323,2016
FCC184,FDS11_DWARF001,54.237602,-35.506592,2016
FCC29,FDS25_DWARF000,50.984844,-36.464443,2018
FCC179,FDS12_DWARF003,54.192539,-35.999268,2016
FCC147,FDS16_DWARF001,53.819111,-35.226257,2016
FCC83,FDS19_DWARF000,52.645653,-34.853939,2018
FCC193,FDS11_DWARF000,54.298901,-35.746105,2016
FCC153,FDS15_DWARF002,53.87944,-34.447021,2016
FCC177,FDS10_DWARF000,54.197838,-34.739735,2016
FCC249,FDS13_DWARF000,55.175434,-37.510769,2018
FCC190,FDS11_DWARF005,54.287319,-35.195053,2016
FCC143,FDS16_DWARF002,53.746666,-35.171089,2016
FCC235,FDS11_DWARF519,55.041069,-35.629093,2016
FCC301,FDS7_DWARF000,56.2649,-35.972668,2018
FCC263,FDS5_DWARF000,55.385574,-34.888752,2018
FCC37,FDS25_DWARF241,51.289337,-36.365185,2018
FCC33,FDS26_DWARF003,51.243237,-37.009613,2018
FCC285,FDS7_DWARF360,55.760147,-36.273357,2018
FCC182,FDS11_DWARF279,54.226295,-35.374714,2016
FCC136,FDS16_DWARF159,53.622837,-35.546459,2016
FCC106,FDS15_DWARF417,53.198673,-34.238728,2018
FCC202,FDS11_DWARF235,54.527325,-35.439911,2015
FCC113,FDS15_DWARF107,53.279419,-34.805576,2018
FCC222,FDS11_DWARF283,54.8055,-35.37141,2015
FCC100,FDS16_DWARF417,52.948479,-35.051388,2018
FCC203,FDS10_DWARF189,54.5382,-34.518761,2016
FCC135,FDS15_DWARF384,53.628445,-34.297371,2016
FCC207,FDS11_DWARF396,54.580185,-35.129124,2015
FCC245,FDS11_DWARF458,55.140991,-35.022888,2018
FCC252,FDS11_DWARF069,55.209988,-35.748455,2018
FCC300,FDS7_DWARF326,56.249588,-36.319752,2018
FCC266,FDS6_DWARF455,55.422161,-35.170265,2018
FCC46,FDS22_DWARF244,51.604301,-37.127785,2018
FCC188,FDS11_DWARF155,54.268906,-35.590149,2015
FCC211,FDS11_DWARF339,54.589504,-35.259689,2015
FCC164,FDS12_DWARF367,54.053589,-36.166451,2016
FCC306,FDS7_DWARF310,56.439095,-36.3461,2018
FCC253,FDS13_DWARF042,55.230301,-37.837627,2018
FCC274,FDS6_DWARF208,55.571922,-35.540737,2015
FCC298,FDS6_DWARF098,56.18507,-35.683716,2018
FCC264,FDS6_DWARF170,55.382313,-35.58955,2015
FCC195,FDS10_DWARF014,54.347183,-34.900108,2016
FCC250,FDS13_DWARF258,55.184971,-37.408268,2018
FCC178,FDS10_DWARF302,54.202728,-34.280102,2016
FCC134,FDS15_DWARF223,53.590393,-34.592522,2016
FCC51,FDS21_DWARF129,51.776043,-36.636787,2018
