FCC,M_r(mag),ERR_m_r(mag),M_g(mag),ERR_m_g(mag),R_e(arcsec),ERR_R_e(arcsec),ERR_mu_r(mag/arcsec2),axis_ratio,Sersic_index
213,-23.02,0.08,-22.18,0.1,114.88,8.41,0.23,0.92,5.8
167,-22.01,0.06,-21.26,0.08,44.49,2.49,0.17,0.59,2.88
219,-22,0.05,-21.21,0.06,26.15,1.09,0.13,0.87,3.6
184,-21.84,0.09,-20.99,0.11,73.56,5.68,0.24,0.93,7.47
29,-21.56,0.07,-20.92,0.08,43.82,2.72,0.19,0.81,5.43
179,-21.23,0.1,-20.36,0.13,74.62,6.79,0.29,0.48,6.86
147,-21.08,0.06,-20.3,0.08,29.51,1.67,0.17,0.98,5.39
83,-20.82,0.1,-20.06,0.12,55.35,4.74,0.27,0.61,6.81
193,-20.34,0.05,-19.6,0.07,15.53,0.74,0.15,0.66,3.09
153,-19.62,0.08,-18.89,0.1,23.15,1.66,0.22,0.15,1.62
177,-19.34,0.1,-18.65,0.12,28.81,2.51,0.27,0.26,1.66
249,-19.21,0.05,-18.43,0.06,7.13,0.3,0.12,0.98,3.47
190,-19.19,0.07,-18.36,0.09,16.23,1.07,0.2,0.92,1.81
143,-18.66,0.06,-17.99,0.08,9.81,0.56,0.17,0.85,4.34
235,-18.57,0.14,-18.19,0.16,42.3,5.54,0.42,0.68,0.85
301,-18.34,0.06,-17.72,0.07,7.6,0.41,0.16,0.54,2.12
263,-18.28,0.09,-17.72,0.11,16.47,1.38,0.26,0.48,1.37
37,-18.17,0.14,-17.79,0.16,33.89,4.35,0.41,0.68,1.09
33,-18.07,0.1,-17.41,0.12,16.89,1.51,0.28,0.37,1.18
285,-17.97,0.15,-17.52,0.16,32.65,4.32,0.42,0.74,1.22
182,-17.89,0.08,-17.12,0.09,9.67,0.66,0.21,0.96,2.43
136,-17.77,0.11,-17,0.13,17.5,1.72,0.31,0.85,2.14
106,-17.42,0.09,-16.77,0.11,10.65,0.87,0.26,0.49,2.18
202,-17.34,0.11,-16.6,0.13,13.28,1.25,0.3,0.59,1.67
113,-17.04,0.14,-16.52,0.16,18.92,2.35,0.39,0.69,1.19
222,-16.97,0.13,-16.27,0.15,16.1,1.86,0.36,0.89,1.35
100,-16.96,0.14,-16.22,0.17,19.77,2.56,0.41,0.76,1.46
203,-16.9,0.13,-16.27,0.15,16.04,1.88,0.37,0.55,1.46
135,-16.82,0.13,-16.2,0.15,14.72,1.68,0.36,0.47,1.58
207,-16.59,0.11,-15.97,0.12,9.59,0.92,0.3,0.83,1.54
245,-16.5,0.14,-15.83,0.16,14.52,1.78,0.39,0.92,1.51
252,-16.41,0.12,-15.73,0.14,11.13,1.21,0.34,0.94,1.21
300,-16.38,0.17,-15.71,0.2,20.82,3.23,0.49,0.72,1.14
266,-16.35,0.09,-15.68,0.11,6.91,0.58,0.26,0.89,1.17
46,-16.31,0.11,-15.78,0.12,8.51,0.82,0.3,0.64,0.98
188,-16.26,0.13,-15.57,0.16,12.2,1.45,0.38,0.96,1
211,-16.11,0.1,-15.47,0.11,6.58,0.58,0.27,0.75,1.66
164,-16,0.13,-15.37,0.15,9.95,1.13,0.36,0.55,1.47
306,-15.91,0.11,-15.54,0.12,7.26,0.71,0.31,0.59,0.9
253,-15.83,0.14,-15.14,0.16,10.92,1.36,0.39,0.62,1.13
274,-15.75,0.15,-15.17,0.17,12.05,1.62,0.43,0.96,1.26
298,-15.62,0.11,-15,0.13,6.97,0.71,0.32,0.71,1.19
264,-15.51,0.14,-14.91,0.17,10.27,1.34,0.41,0.4,1.05
195,-15.44,0.16,-14.82,0.19,12.78,1.92,0.48,0.54,1.06
250,-15.06,0.15,-14.37,0.18,9.22,1.27,0.44,0.76,0.84
178,-15.02,0.17,-14.46,0.2,11.26,1.76,0.5,0.71,1.24
134,-14.6,0.14,-14.08,0.16,6.52,0.84,0.41,0.57,0.81
51,-14.15,0.13,-13.57,0.15,4.45,0.52,0.37,0.7,0.96
