"FCC","FDS","_DWARF","RA(deg)","DEC(deg)","year","M_r(mag)","ERR_m_r(mag)","M_g(mag)","ERR_m_g(mag)","mu_r(mag/arcsec2)","ERR_mu_r(mag/arcsec2)","R_e(arcsec)","ERR_R_e(arcsec)","axis_ratio","Sersic_index","log10(M_*/M_sun)","ERR_log10(M_*)","u","g","r","i"
276,6,1,55.5809555053711,-35.3925323486328,2018,-21.62,0.11,-20.86,0.14,21.72,0.32,110.8,11.36,0.7,7.85,10.6509,0.0025,13.1584,11.4386,10.7088,10.3983
277,6,2,55.5949249267578,-35.1540985107422,2018,-18.82,0.07,-18.13,0.08,19.39,0.18,11.44,0.68,0.58,1.89,9.469,0.0022,15.4076,13.7725,13.1207,12.817
206,13,299,54.555736541748,-37.2898941040039,2018,-16.83,0.17,-16.06,0.21,23.68,0.51,26.89,4.28,0.88,1.29,9.1431,0.0038,17.4916,16.1126,15.4538,14.7258
35,25,8,51.2673377990723,-36.927677154541,2018,-16.56,0.13,-16.24,0.14,21.75,0.36,13.04,1.49,0.49,0.91,8.0405,0.0035,-1,15.94,15.7379,15.623
223,11,79,54.8320732116699,-35.7246627807617,2016,-16.08,0.16,-15.51,0.19,23.46,0.47,17.05,2.55,0.89,1,8.3191,0.0042,18.3179,17.0383,16.4511,16.1556
302,6,176,56.301155090332,-35.570858001709,2018,-16.02,0.23,-15.85,0.24,23.38,0.67,30.3,6.33,0.25,0.72,7.8679,0.0055,18.221,17.4718,17.3162,17.1328
201,13,302,54.4736061096191,-37.279670715332,2018,-15.45,0.17,-14.8,0.2,23.29,0.5,13.85,2.17,0.64,0.93,8.1024,0.0043,18.653,17.5258,16.8677,16.5833
241,11,327,55.0980224609375,-35.2766151428223,2015,-15.41,0.17,-14.84,0.2,23.76,0.51,14.08,2.25,0.93,1.02,8.0732,0.0046,18.6408,17.508,16.928,16.6062
208,11,185,54.5783538818359,-35.5308990478516,"2015&2016",-15.37,0.21,-14.77,0.25,24.26,0.63,20.29,4.01,0.68,1.79,8.3378,0.0053,17.8513,17.3533,16.713,16.1736
158,17,343,53.9429206848145,-35.9892997741699,2016,-15.31,0.21,-14.64,0.25,23.87,0.61,18.85,3.63,0.52,0.96,8.1073,0.0053,18.8141,17.7264,17.0772,16.7318
88022,13,58,55.1261787414551,-37.827995300293,2018,-15.31,0.13,-14.94,0.14,21.47,0.36,7.27,0.83,0.38,1.42,7.6732,0.0037,18.0815,17.4255,17.1147,16.9479
126,15,232,53.4840888977051,-34.5617980957031,2018,-15.18,0.11,-14.63,0.12,21.63,0.3,5.13,0.5,0.8,1.19,7.9148,0.0032,19.0865,17.7997,17.2505,16.9707
99,15,359,52.9372367858887,-34.3381233215332,2018,-15.05,0.18,-14.45,0.21,23.49,0.52,12.35,2.01,0.68,0.75,7.8873,0.0045,18.8317,17.9856,17.3896,17.1174
181,10,3,54.2219390869141,-34.9383926391602,2016,-14.96,0.16,-14.3,0.19,22.91,0.46,9.66,1.4,0.6,0.82,7.8654,0.0043,19.263,18.0991,17.4611,17.2038
165,11,10,54.0980415344238,-35.9113845825195,2016,-14.7,0.21,-14.02,0.24,23.79,0.61,13.95,2.66,0.51,0.94,7.7733,0.0051,19.4406,18.3017,17.6502,17.3877
200,10,23,54.4777297973633,-34.8820953369141,2016,-14.69,0.15,-14.14,0.18,23.12,0.45,8.05,1.13,0.81,1.26,7.7801,0.0041,19.5519,18.2734,17.6905,17.377
38,25,146,51.2894134521484,-36.553279876709,2018,-14.63,0.16,-14.08,0.19,23.36,0.47,8.56,1.27,0.85,0.84,7.7024,0.0043,-1,18.2329,17.6913,17.3983
118,15,292,53.3801383972168,-34.4557952880859,2018,-14.53,0.17,-13.93,0.2,23.54,0.5,9.1,1.43,0.81,0.82,7.6477,0.0048,19.5477,18.4455,17.8373,17.6
221,12,406,54.7740592956543,-36.0989456176758,2016,-14.52,0.14,-13.94,0.16,22.66,0.41,6.37,0.82,0.73,0.79,7.6475,0.004,19.7835,18.3898,17.816,17.555
293,6,30,56.1047096252441,-35.8567924499512,2018,-14.45,0.2,-13.87,0.22,24.12,0.57,11.12,1.99,0.86,0.85,7.6526,0.0054,19.6389,18.4108,17.8426,17.5456
40,25,80,51.3535499572754,-36.7448272705078,2018,-14.39,0.16,-13.8,0.19,23.14,0.47,7.63,1.12,0.7,1,7.7211,0.0043,-1,18.6248,18.0161,17.6615
297,7,509,56.1635704040527,-35.9826316833496,2018,-14.36,0.24,-13.77,0.27,24.7,0.7,15.19,3.31,0.72,0.87,7.6516,0.0058,19.6475,18.6148,18.0043,17.7024
242,13,162,55.0870933532715,-37.6448593139648,2018,-14.33,0.22,-13.68,0.26,24.27,0.66,13.78,2.86,0.57,0.79,7.616,0.0056,20.3859,18.909,18.2296,17.9957
180,12,349,54.2052230834961,-36.2297210693359,2016,-14.21,0.23,-13.73,0.26,23.71,0.67,13.38,2.82,0.33,0.97,7.6935,0.0056,20.438,19.4065,18.7669,18.3937
287,6,249,55.8063659667969,-35.5188980102539,2015,-14.18,0.19,-13.56,0.22,23.82,0.54,8.95,1.52,0.78,1.2,7.6399,0.0048,19.9893,18.7871,18.1769,17.8218
25,26,277,50.8898811340332,-36.9828796386719,2018,-14.17,0.18,-13.61,0.21,23.79,0.53,8.7,1.46,0.8,0.77,7.566,0.0051,-1,18.6494,18.0782,17.7624
