"FCC","Sigma","Velocity","H3","H4","Error.Sigma","Error.Velocity","Error.H3","Error.H4"
277,79.8283,1645.953,-0.021,-0.0541,2.9007,0.0225,2.7051,0.0276
143,66.0774,1368.8682,-0.0075,-0.0095,1.0189,0.0097,0.6385,0.4219
235,29.9744,1992.5866,-0.0029,0.0172,7.4942,0.0417,9.5576,0.193
301,56.779,1033.6305,0.0082,-0.0428,1.87,0.0085,13.0075,3.6117
263,35.4686,1733.7018,0.0678,0.0261,1.3586,0.0102,1.3442,0
37,23.116,1829.0487,0.0033,0.0062,11.7317,0.091,10.9969,0.2844
33,34.6622,1976.0041,0.0278,0.0622,0.9357,0.0139,1.0635,0
285,14.4437,890.7293,0.0154,-0.0002,5.1387,0.0314,5.3072,5.3199
182,38.8543,1692.4067,0.0035,-0.0375,0.4939,0.011,0.7631,0.012
136,30.9298,1237.335,0.0243,0.0208,1.5543,0.0226,3.0951,0.0354
106,36.6946,2053.147,0.0608,0.0461,1.2047,0.0138,2.6044,0.0296
202,31.5052,845.4551,0.0456,0.0044,1.009,0.0224,1.1634,0
113,10.3114,1381.8015,-0.0073,-0.0023,5.6974,0.0329,7.4425,5.5443
222,18.6047,807.8665,0.0033,-0.0221,3.8464,0.0402,4.1422,0.1708
100,26.4483,1648.0225,-0.013,-0.0077,5.5318,0.0574,6.597,0.1914
203,31.3815,1138.9494,0.043,-0.002,2.3254,0.0306,3.1981,0.0553
135,21.2401,1247.7423,0.0516,-0.0468,2.7843,0.0293,3.3434,0.104
207,24.1795,1422.5261,-0.052,-0.007,4.8484,0.0405,6.1108,0.1797
245,25.3773,2188.0431,0.015,-0.001,4.3179,0.0523,4.2083,0.1492
252,24.4416,1359.0045,0.0008,0.0338,8.713,0.0424,2.059,0
300,18.0232,1401.4274,0.0163,0.002,5.4663,0.0583,5.7231,0
266,24.0355,1556.0313,-0.0176,0.0174,4.7049,0.0315,5.0958,0.1544
46,32.2014,2240.7507,0.1002,-0.0692,5.6714,0.0225,5.9164,0.1441
188,15.4514,1088.7607,-0.0317,-0.0125,3.7701,0.0701,7.0113,0
211,20.141,2296.7103,-0.0199,-0.0091,5.716,0.0337,4.7659,4.8223
164,11.0678,1440.3373,-0.0003,0.0042,5.2301,0.0449,5.6976,0.2568
306,14.0366,893.2473,0.0145,-0.0055,5.9076,0.0274,5.2902,0
253,17.7121,1647.2012,0.0125,-0.0053,6.4887,0.0525,8.4942,0.2262
274,18.274,972.9859,0.0099,0.001,12.6537,0.0853,10.1432,0.2684
298,29.0552,1654.2287,0.0003,-0.0214,5.8133,0.0377,2.3012,0
264,11.7375,1924.031,0.0093,-0.0105,5.5398,0.0576,6.1291,4.947
195,20.1151,1293.7575,-0.0165,-0.0127,10.4218,0.1004,11.8112,0.2628
250,18.678,1251.4371,-0.0095,-0.0007,10.4047,0.0821,8.8416,0.3054
178,21.2195,1283.5992,0.0036,-0.0133,10.6095,0.1324,13.7333,0.2695
134,22.8041,1397.2789,-0.0045,-0.013,8.3158,0.0924,9.8559,0.2453
51,17.1884,2107.6849,-0.0064,0.0121,9.2307,0.086,11.8455,5.9685
