mu_r,Sigma/6,FCC,Re(arcsec),Error.Sigma/1,Sigma/2,Sigma/1,Error.Sigma/2,Error.Sigma/6,Error.Sigma/4,Sigma/4
19.39,nan,277,11.44,nan,nan,nan,nan,nan,nan,nan
19.63,71.9624,143,9.81,nan,68.6880,nan,0.3299,0.3853,0.3269,70.9475
22.64,22.8340,235,42.3,nan,nan,nan,nan,9.2610,nan,nan
18.89,43.8497,301,7.6,nan,52.3708,nan,0.3776,0.5058,0.4800,45.6620
20.51,34.3821,263,16.47,nan,nan,nan,nan,3.1963,2.1351,35.2236
22.56,nan,37,33.89,nan,nan,nan,nan,nan,nan,nan
20.5,25.6740,33,16.89,nan,nan,nan,nan,1.0162,0.9802,28.5608
22.78,14.2726,285,32.65,nan,nan,nan,nan,5.2316,nan,nan
20.5,39.1939,182,9.67,nan,39.1954,nan,0.3771,0.3883,0.3011,39.3125
21.78,28.2695,136,17.5,nan,nan,nan,nan,0.8066,0.8156,29.1770
20.44,31.6288,106,10.65,nan,35.2185,nan,0.6681,0.6259,0.4593,32.8014
21.21,35.5506,202,13.28,nan,32.3599,nan,1.2830,1.0249,0.9251,35.2136
22.45,11.0023,113,18.92,nan,nan,nan,nan,5.4846,5.5978,11.9806
22.44,23.0526,222,16.1,nan,nan,nan,nan,3.6135,3.3248,22.8976
22.72,31.0935,100,19.77,nan,nan,nan,nan,4.5138,4.9516,31.3037
21.97,24.8384,203,16.04,nan,nan,nan,nan,2.2055,2.0128,26.6077
21.7,17.5359,135,14.72,nan,20.9231,nan,2.4704,2.4082,2.6930,16.5489
21.63,16.6864,207,9.59,nan,23.3701,nan,3.9494,4.7588,4.2679,18.4546
22.72,22.1554,245,14.52,nan,24.7914,nan,4.2148,4.1742,4.0366,22.6003
22.25,26.3593,252,11.13,nan,24.6039,nan,2.9772,3.1095,3.0467,24.8038
23.37,13.3265,300,20.82,nan,nan,nan,nan,5.9865,5.3039,12.0349
21.23,24.1872,266,6.91,5.1329,24.3141,23.4635,4.4991,5.0276,5.2365,22.8874
21.35,28.7340,46,8.51,nan,37.6166,nan,4.8742,5.4368,5.0232,32.5770
22.64,18.1448,188,12.2,nan,19.8636,nan,5.1520,5.0837,4.7848,20.2018
21.17,23.8235,211,6.58,4.7916,26.3987,21.7728,4.1591,4.9300,5.2160,23.7138
21.85,nan,164,9.95,nan,11.9975,nan,4.0509,nan,4.2739,9.5284
21.33,20.9346,306,7.26,5.3578,13.5597,13.7060,4.7760,5.1870,5.4074,17.7614
22.35,11.5081,253,10.92,nan,15.3642,nan,5.9212,6.4898,6.1878,13.3754
23.12,23.4252,274,12.05,nan,27.9090,nan,7.0538,6.0928,6.3635,26.7953
21.73,25.6142,298,6.97,3.4720,28.2749,27.3250,2.5394,3.3812,2.7458,26.0313
22.06,14.5424,264,10.27,nan,8.7249,nan,5.0381,4.8901,4.8177,13.4550
22.92,23.6484,195,12.78,nan,21.1519,nan,12.9121,16.1006,16.6197,22.9885
22.97,16.0871,250,9.22,nan,20.3002,nan,7.6003,10.0381,7.4209,20.0369
23.37,23.1066,178,11.26,nan,11.9532,nan,9.0755,11.5650,7.8759,10.8817
22.36,nan,134,6.52,7.7310,12.5527,18.8095,7.6730,nan,nan,nan
22.21,nan,51,4.45,5.8052,nan,4.1528,nan,nan,nan,nan
