Name	SB	Sigma	error
213	 20.70	339.81	6.48
167	 19.18	196.47	1.22
219	 18.45	225.52	3.29
184	 20.91	160.73	1.70
179	 20.84	116.69	1.47
177	 20.01	43.06	0.69
147	 19.75	159.13	1.50
153	 18.63	58.89	0.52
193	 18.67	122.39	1.37
190	 20.28	79.26	7.89
143	 19.63	66.08	1.02
235	 22.64	29.97	7.49
182	 20.50	38.85	0.49
136	 21.78	30.93	1.55
202	 21.21	31.51	1.01
222	 22.44	18.60	3.85
203	 21.97	31.38	2.33
135	 21.70	21.24	2.78
207	 21.63	24.18	4.85
188	 22.64	15.45	3.77
211	 21.17	20.14	5.72
164	 21.85	11.07	5.23
274	 23.12	18.27	12.65
264	 22.06	11.74	5.54
195	 22.92	20.12	10.42
178	 23.37	21.22	10.61
134	 22.36	22.80	8.32
106	 20.44	36.69	1.20
113	 22.45	10.31	5.70
100	 22.72	26.45	5.53
83	 20.87	131.69	0.60
252	 22.25	24.44	8.71
245	 22.72	25.38	4.32
266	 21.23	24.04	4.70
263	 20.51	35.47	1.36
37	 22.56	23.12	11.73
46	 21.35	32.20	5.67
33	 20.50	34.66	0.94
29	 19.92	116.13	1.01
51	 22.21	17.19	9.23
298	 21.73	29.06	5.81
300	 23.37	18.02	5.47
306	 21.33	14.04	5.91
301	 18.89	56.78	1.87
285	 22.78	14.44	5.14
250	 22.97	18.68	10.40
253	 22.35	17.71	6.49
249	 18.54	104.58	0.58
