FCC,M_r(mag),ERR_m_r(mag),M_V(mag),ERR_M_V(mag),R_e(pc),ERR_R_e(pc),log10(M_*/M_sun)_r,ERR_log10(M_*)_r,Sigma(km/s),ERR_Sigma(km/s),Luminosity_r_1/2(L_sun),ERR_L_r,Luminosity_V_1/2(L_sun),ERR_L_V,Dyn_Mass_1/2(M_sun),ERR_DynM,M/L_r(M_sun/L_sun),ERR_M/L_r,M/L_V(M_sun/L_sun),ERR_M/L_V
213,-23.02,0.08,-22.67,0.10,10971.04,8.41,11.2890,0.0020,339.8137,6.4832,57938867807.7563,-4269093546.2110,50165807156.1904,-4613293766.2955,1178182357079.7285,44965421273.1067,20.3349,1.6874,23.4858,2.3384
167,-22.01,0.06,-21.69,0.08,4248.80,2.49,10.8922,0.0019,143.4000,1.2184,22854409480.7439,-1262981341.9090,20305589600.2207,-1491226287.7777,81254426346.4860,1381579508.9448,3.5553,0.2056,4.0016,0.3016
219,-22.00,0.05,-21.69,0.06,2497.32,1.09,10.9633,0.0018,154.3000,3.2870,22644878995.1811,-1042835216.1392,20270796060.4770,-1116859907.2780,55295509679.0025,2356006190.1771,2.4419,0.1532,2.7278,0.1900
184,-21.84,0.09,-21.50,0.11,7024.98,5.68,10.8111,0.0021,143.4000,1.6992,19542044789.6201,-1619899956.6912,17002383366.3016,-1720575364.2096,134346495887.7840,3185695786.6958,6.8747,0.5927,7.9016,0.8213
276,-21.62,0.11,-21.29,0.14,10581.40,11.36,10.6509,0.0025,123.3000,0.6441,15957689275.5039,-1616733247.5539,14005699508.1105,-1802476128.6876,149607110028.7800,1571279073.4350,9.3752,0.9549,10.6819,1.3793
29,-21.56,0.07,-21.37,0.08,4184.81,2.72,10.6949,0.0020,116.1258,1.0086,15099758602.0101,-973517413.8143,15053143590.1982,-1105859641.0512,52482695373.5702,912305257.6498,3.4757,0.2321,3.4865,0.2632
179,-21.23,0.10,-20.79,0.13,7126.21,6.79,10.5091,0.0024,70.0000,1.4730,11142175746.3515,-1026232311.0828,8825509857.0037,-1054500678.7607,32474138970.0000,1367047553.3000,2.9145,0.2951,3.6796,0.4661
147,-21.08,0.06,-20.74,0.08,2818.21,1.67,10.4283,0.0020,131.1000,1.4951,9704429387.9639,-536286586.6737,8463020723.4532,-621652333.6862,45046485476.9865,1027791400.6095,4.6418,0.2775,5.3227,0.4094
83,-20.82,0.10,-20.53,0.12,5285.93,4.74,10.4017,0.0023,102.8000,0.5972,7637830291.1904,-703470166.8525,6943202061.9863,-766094799.7637,51950552976.3600,605391732.1184,6.8017,0.6315,7.4822,0.8302
193,-20.34,0.05,-20.04,0.07,1483.12,0.74,10.1979,0.0020,95.3000,1.3667,4908739715.0999,-226055817.8675,4426919291.8935,-284380835.5389,12526899036.6255,359351588.5801,2.5520,0.1385,2.8297,0.1991
249,-19.21,0.05,-18.90,0.06,680.92,0.30,9.8011,0.0020,103.8000,0.5797,1733684252.2627,-79839110.3044,1556615692.5242,-85747782.8266,6822924365.7180,76268305.7275,3.9355,0.1865,4.3832,0.2464
190,-19.19,0.07,-18.86,0.09,1549.97,1.07,9.6728,0.0022,74.6200,7.8886,1702040948.5050,-109734635.2394,1492837047.4404,-123542892.7705,8026298909.4998,1697040982.7289,4.7157,1.0424,5.3765,1.2208
277,-18.82,0.07,-18.51,0.08,1092.52,0.68,9.4690,0.0022,80.1700,2.9007,1210514523.3681,-78044755.4981,1088120028.7844,-79826682.1433,6530344789.5800,472577567.8804,5.3947,0.5229,6.0015,0.6184
143,-18.66,0.06,-18.42,0.08,936.86,0.56,9.4560,0.0022,62.3100,1.0189,1044648065.4270,-57729385.5091,1001040859.2475,-73519052.8215,3382757222.9079,110648916.2623,3.2382,0.2079,3.3792,0.2717
235,-18.57,0.14,-18.40,0.16,4039.65,5.54,9.0386,0.0034,29.9744,7.4942,961545864.4551,-123986305.7286,975829188.4386,-143206988.6188,3375418952.8733,1687850956.3208,3.5104,1.8128,3.4590,1.8026
301,-18.34,0.06,-18.14,0.07,725.80,0.41,9.3652,0.0022,48.7400,1.8700,777982815.8025,-42992919.2225,772117159.5562,-49579831.9311,1603507376.4744,123046370.4064,2.0611,0.1949,2.0768,0.2078
263,-18.28,0.09,-18.01,0.11,1572.88,1.38,9.0004,0.0027,28.0000,1.3586,736156251.2164,-61022246.7659,681535377.4871,-68721483.4908,1146821911.2000,111295423.2876,1.5579,0.1988,1.6827,0.2355
37,-18.17,0.14,-18.06,0.16,3236.50,4.35,9.0192,0.0033,23.1160,11.7317,665227208.9890,-85777566.2728,716892776.3889,-105283190.7161,1608359988.6149,1632532740.9900,2.4178,2.4738,2.2435,2.3009
33,-18.07,0.10,-17.80,0.12,1613.00,1.51,9.2439,0.0027,34.6622,0.9357,606694425.2325,-55878621.5817,561944990.9113,-61930566.6711,1802304708.5631,97320424.5897,2.9707,0.3172,3.2073,0.3936
285,-17.97,0.15,-17.75,0.16,3118.07,4.32,8.7834,0.0035,14.4437,5.1387,553311891.9888,-76442862.8562,536565573.2612,-78761265.7840,604959672.0566,430459253.4829,1.0933,0.7925,1.1275,0.8191
182,-17.89,0.08,-17.59,0.09,923.49,0.66,9.1682,0.0024,39.2000,0.4939,514008149.0632,-37873520.0547,465538287.1247,-38507526.7390,1319729511.0720,33269209.5237,2.5675,0.1999,2.8348,0.2451
136,-17.77,0.11,-17.46,0.13,1671.25,1.72,9.0824,0.0028,30.9298,1.5543,460224785.8766,-46627096.1810,410925416.8059,-49118842.8847,1486889149.8628,149447650.4089,3.2308,0.4611,3.6184,0.5651
106,-17.42,0.09,-17.17,0.11,1017.07,0.87,8.8965,0.0027,36.6946,1.2047,333403384.6068,-27636827.8806,316112015.8904,-31934342.9306,1273621095.1616,83634187.4273,3.8201,0.4040,4.0290,0.4855
202,-17.34,0.11,-17.03,0.13,1268.24,1.25,8.9093,0.0028,31.5052,1.0090,309720537.5384,-31378947.2801,277046969.7414,-33103393.4111,1170708784.2370,74996191.1551,3.7799,0.4531,4.2257,0.5729
113,-17.04,0.14,-16.81,0.16,1806.86,2.35,8.4790,0.0035,10.3114,5.6974,234947054.3026,-30295192.7533,225759796.1875,-33160881.0265,178666331.7564,197438614.2644,0.7605,0.8461,0.7914,0.8822
222,-16.97,0.13,-16.68,0.15,1537.55,1.86,8.7708,0.0033,18.6047,3.8464,220277431.7533,-26374791.5953,200525128.9711,-27647018.1427,494945681.2020,204654438.4683,2.2469,0.9672,2.4682,1.0758
100,-16.96,0.14,-16.64,0.17,1888.03,2.56,8.7505,0.0035,26.4483,5.5318,218257916.1201,-28143215.7488,193272028.2733,-30210363.8827,1228254925.1174,513794556.7791,5.6275,2.4634,6.3551,2.8379
203,-16.90,0.13,-16.66,0.15,1531.82,1.88,8.7570,0.0033,31.3815,2.3254,206523750.9951,-24728002.5403,197162267.5650,-27177468.2887,1402936715.7801,207925108.9299,6.7931,1.2943,7.1156,1.4402
135,-16.82,0.13,-16.58,0.15,1405.76,1.68,8.7083,0.0032,21.2401,2.7843,191853622.7461,-22971483.1722,182396123.6638,-25137739.0590,589803362.7604,154632658.4228,3.0742,0.8861,3.2336,0.9578
207,-16.59,0.11,-16.36,0.12,915.85,0.92,8.5125,0.0030,24.1795,4.8484,155227979.4064,-15726727.7815,149749783.8977,-16504573.7048,497965848.8256,199701829.7025,3.2080,1.3269,3.3253,1.3830
245,-16.50,0.14,-16.19,0.16,1386.66,1.78,8.5729,0.0035,25.3773,4.3179,142879527.1687,-18423567.0838,128379477.6619,-18873246.8024,830507892.5364,282620731.3395,5.8126,2.1153,6.4692,2.3981
252,-16.41,0.12,-16.14,0.14,1062.91,1.21,8.5849,0.0032,24.4416,8.7130,131513399.5948,-14535398.0849,121654787.4646,-15651923.4254,590528346.1789,421026449.8990,4.4903,3.2396,4.8541,3.5167
300,-16.38,0.17,-16.11,0.20,1988.31,3.23,8.5498,0.0041,18.0232,5.4663,127929294.3453,-20030629.8559,118431711.1898,-21780258.3765,600662956.4310,364354353.6518,4.6953,2.9414,5.0718,3.2148
266,-16.35,0.09,-16.07,0.11,659.91,0.58,8.4988,0.0028,24.0355,4.7049,124442865.9141,-10315450.3674,114713572.2949,-11586645.9163,354544448.4817,138803052.0969,2.8491,1.1401,3.0907,1.2496
46,-16.31,0.11,-16.07,0.12,812.71,0.82,8.3101,0.0031,32.2014,5.6714,119941645.9510,-12151737.2238,114724983.6137,-12625772.9842,783728044.3664,276065852.1301,6.5342,2.3950,6.8314,2.5210
188,-16.26,0.13,-15.98,0.16,1165.10,1.45,8.4255,0.0035,15.4514,3.7701,114543382.6384,-13714786.0389,105209705.3541,-15474555.3905,258691299.1514,126240371.5609,2.2585,1.1348,2.4588,1.2532
211,-16.11,0.10,-15.85,0.11,628.39,0.58,8.3387,0.0029,20.1410,5.7160,99763115.7484,-9188522.5261,93415040.0505,-9433408.4958,237068729.7381,134560016.9629,2.3763,1.3664,2.5378,1.4631
164,-16.00,0.13,-15.74,0.15,950.23,1.13,8.3351,0.0034,11.0678,5.2301,90150887.0430,-10794164.6085,84850421.5568,-11693916.0024,108251022.2373,102308339.4332,1.2008,1.1439,1.2758,1.2185
306,-15.91,0.11,-15.73,0.12,693.33,0.71,7.9136,0.0033,14.0366,5.9076,82979345.3719,-8406948.1619,84106818.3185,-9242858.3590,127041844.0073,106936573.3949,1.5310,1.2980,1.5105,1.2822
253,-15.83,0.14,-15.56,0.16,1042.86,1.36,8.3048,0.0036,17.7121,6.4887,77085022.6475,-9939710.1463,71432821.4716,-10507669.6320,304262948.4859,222929423.5152,3.9471,2.9364,4.2594,3.1831
274,-15.75,0.15,-15.51,0.17,1150.78,1.62,8.1779,0.0039,18.2740,12.6537,71609394.9637,-9893203.5217,68455824.3034,-10691753.4275,357388528.3710,494942492.9255,4.9908,6.9460,5.2207,7.2759
298,-15.62,0.11,-15.37,0.13,665.63,0.71,8.1686,0.0033,29.0552,5.8133,63528705.2604,-6436330.9872,59961736.8798,-7158591.7788,522596909.0162,209120804.8312,8.2262,3.3956,8.7155,3.6395
264,-15.51,0.14,-15.26,0.17,980.78,1.34,8.0985,0.0038,11.7375,5.5398,57407681.0748,-7402419.9573,54139246.1621,-8456186.4829,125663159.3463,118619722.9955,2.1890,2.0855,2.3211,2.2208
195,-15.44,0.16,-15.21,0.19,1220.49,1.92,8.1332,0.0041,20.1151,10.4218,53823260.6815,-7931688.8129,51702673.9374,-9031380.2137,459263113.6721,475896598.4607,8.5328,8.9308,8.8828,9.3344
250,-15.06,0.15,-14.79,0.18,880.51,1.27,7.9732,0.0040,18.6780,10.4047,37928878.7515,-5240068.2484,35233842.1498,-5832033.5218,285678780.5281,318278669.9507,7.5320,8.4557,8.1081,9.1325
178,-15.02,0.17,-14.80,0.20,1075.33,1.76,7.9490,0.0043,21.2195,10.6095,36556954.1742,-5723933.8454,35596754.5772,-6543243.6556,450292800.4526,450282793.2370,12.3176,12.4674,12.6498,12.8615
134,-14.60,0.14,-14.37,0.16,622.66,0.84,7.6366,0.0040,22.8041,8.3158,24829616.0725,-3201649.0147,23898453.8433,-3510411.0636,301133997.5639,219624925.4236,12.1280,8.9825,12.6006,9.3745
51,-14.15,0.13,-13.95,0.15,424.98,0.52,7.5933,0.0037,17.1884,9.2307,16404764.6557,-1964215.0606,16205819.7574,-2233520.9502,116766223.6194,125414195.5961,7.1178,7.6923,7.2052,7.8023
